tweet_id,tweet_text,created_at,author_id,sentiment_score,sentiment_label
1941051790273007818,"⭕️LEVIS × NIKE AIR MAX 95 BIG BUBBLE OG ""DENIM 3COLORWAYS""

""BLACK / ANTHRACITE / GYM RED / BLACK""
""OBSIDIAN / GYM RED / OBSIDIAN""
""LIGHT OREWOOD BROWN / GYM RED / WHITE""

⭕️LEVIS × NIKE
""MADE OF WASHED SELBIDGE TRUCKER JACKET AND BAGGY JEANS""

#NIKE
#LEVIS

@LEVIS
@Levis_Japan https://t.co/j0Vgo3YQGY",2025-07-04 08:29:44+00:00,1760631478902497280,0.0,neutral
1941051749244326328,"⭕️LEVIS × NIKE AIR MAX 95 BIG BUBBLE OG ""DENIM 3COLORWAYS""

""BLACK / ANTHRACITE / GYM RED / BLACK""
""OBSIDIAN / GYM RED / OBSIDIAN""
""LIGHT OREWOOD BROWN / GYM RED / WHITE""

⭕️LEVIS × NIKE
""MADE OF WASHED SELBIDGE TRUCKER JACKET AND BAGGY JEANS""

#NIKE
#LEVIS

@LEVIS
@Levis_Japan https://t.co/j0Vgo3YQGY",2025-07-04 08:29:34+00:00,1760631478902497280,0.0,neutral
1941051686119940534,"⭕️LEVIS × NIKE AIR MAX 95 BIG BUBBLE OG ""DENIM 3COLORWAYS""

""BLACK / ANTHRACITE / GYM RED / BLACK""
""OBSIDIAN / GYM RED / OBSIDIAN""
""LIGHT OREWOOD BROWN / GYM RED / WHITE""

⭕️LEVIS × NIKE
""MADE OF WASHED SELBIDGE TRUCKER JACKET AND BAGGY JEANS""

#NIKE
#LEVIS

@LEVIS
@Levis_Japan https://t.co/JQLzRCboPA",2025-07-04 08:29:19+00:00,1760631478902497280,0.0,neutral
1941051645280112948,"⭕️LEVIS × NIKE AIR MAX 95 BIG BUBBLE OG ""DENIM 3COLORWAYS""

""BLACK / ANTHRACITE / GYM RED / BLACK""
""OBSIDIAN / GYM RED / OBSIDIAN""
""LIGHT OREWOOD BROWN / GYM RED / WHITE""

⭕️LEVIS × NIKE
""MADE OF WASHED SELBIDGE TRUCKER JACKET AND BAGGY JEANS""

#NIKE
#LEVIS

@LEVIS
@Levis_Japan https://t.co/JQLzRCboPA",2025-07-04 08:29:09+00:00,1760631478902497280,0.0,neutral
1941051607929794795,"⭕️LEVIS × NIKE AIR MAX 95 BIG BUBBLE OG ""DENIM 3COLORWAYS""

""BLACK / ANTHRACITE / GYM RED / BLACK""
""OBSIDIAN / GYM RED / OBSIDIAN""
""LIGHT OREWOOD BROWN / GYM RED / WHITE""

⭕️LEVIS × NIKE
""MADE OF WASHED SELBIDGE TRUCKER JACKET AND BAGGY JEANS""

#NIKE
#LEVIS

@LEVIS
@Levis_Japan https://t.co/L9aVIyGVPp",2025-07-04 08:29:00+00:00,1760631478902497280,0.0,neutral
1941051547355697548,"⭕️LEVIS × NIKE AIR MAX 95 BIG BUBBLE OG ""DENIM 3COLORWAYS""

""BLACK / ANTHRACITE / GYM RED / BLACK""
""OBSIDIAN / GYM RED / OBSIDIAN""
""LIGHT OREWOOD BROWN / GYM RED / WHITE""

⭕️LEVIS × NIKE
""MADE OF WASHED SELBIDGE TRUCKER JACKET AND BAGGY JEANS""

#NIKE
#LEVIS

@LEVIS
@Levis_Japan https://t.co/L9aVIyGVPp",2025-07-04 08:28:46+00:00,1760631478902497280,0.0,neutral
1941051366534963227,"NIKE AIR JORDAN 1 HIGH RETRO OG (SELF EXPRESSION) ""BLACK MUSLIN""

AIR JORDAN 1 HIGH RETRO OG (SELF EXPRESSION) ""BLACK MUSLIN""

COLORWAY
""BLACK / MUSLIN""

#NIKE
#AIRJORDAN1HIGH
#SELFEXPRESSION
#BLACKMUSLIN

@Nike
@nikesb
@NikeNYC
@nikejapan
@nikestore
@nikebasketball https://t.co/YgpabSQ2oF",2025-07-04 08:28:03+00:00,1760631478902497280,0.0,neutral
1941051325682483348,"NIKE AIR JORDAN 1 HIGH RETRO OG (SELF EXPRESSION) ""BLACK MUSLIN""

AIR JORDAN 1 HIGH RETRO OG (SELF EXPRESSION) ""BLACK MUSLIN""

COLORWAY
""BLACK / MUSLIN""

#NIKE
#AIRJORDAN1HIGH
#SELFEXPRESSION
#BLACKMUSLIN

@Nike
@nikesb
@NikeNYC
@nikejapan
@nikestore
@nikebasketball https://t.co/YgpabSQ2oF",2025-07-04 08:27:53+00:00,1760631478902497280,0.0,neutral
1941050283368632462,"🚀 $NKE’s pre‑market spike to 76.46 quickly faded back to 73.73 as traders reacted to Vietnam trade‑deal whispers. Stay nimble and watch volume surges for entry/exit signals!
#Nike #VietnamTrade #PreMarket 
Image from @ForexLive #stocks https://t.co/t4D3ikP0dq",2025-07-04 08:23:45+00:00,1936031355466661888,0.0,neutral
1941050054124732920,"📉 $NKE saw a sharp reversal ahead of the Vietnam trade deal details, dropping from 76.46 down to 73.73 as profit-taking accelerated
🔍 Keep an eye on support levels and volume
#Nike #VNTrade #MarketWatch #Stocks https://t.co/9OZTsDKv2U",2025-07-04 08:22:50+00:00,1938559069318471680,0.4019,positive
